company,model,launch_date_utc,launch_price,keyword
Nvidia,Titan RTX,1545091200,2499,titanrtx
Nvidia,GeForce RTX 3090 Ti,1648512000,1999,3090ti
Nvidia,GeForce RTX 3090,1600905600,1499,3090
Nvidia,GeForce RTX 3080 Ti,1622678400,1199,3080ti
Nvidia,GeForce RTX 2080 Ti,1538006400,999,2080ti
Nvidia,GeForce RTX 3080 12GB,1641859200,799,308012gb
Nvidia,GeForce RTX 2080,1537401600,699,2080
Nvidia,GeForce RTX 2080 Super,1563840000,699,2080super
Nvidia,GeForce RTX 3080,1600300800,699,3080
Nvidia,GeForce RTX 3070 Ti,1623283200,599,3070ti
Nvidia,GeForce RTX 2070,1539734400,499,2070
Nvidia,GeForce RTX 2070 Super,1562630400,499,2070super
Nvidia,GeForce RTX 3070,1603929600,499,3070
Nvidia,GeForce RTX 2060 Super,1562630400,399,2060super
Nvidia,GeForce RTX 3060 Ti,1606867200,399,3060ti
Nvidia,GeForce RTX 2060,1547510400,349,2060
Nvidia,GeForce RTX 2060 12GB,1638835200,349,206012gb
Nvidia,GeForce RTX 3060,1614211200,329,3060
Nvidia,GeForce GTX 1660 Ti,1550793600,279,1660ti
Nvidia,GeForce RTX 3050,1643241600,249,3050
Nvidia,GeForce GTX 1660 Super,1572307200,229,1660super
Nvidia,GeForce GTX 1660,1552521600,219,1660
Nvidia,GeForce GTX 1650 Super,1574380800,159,1650super
Nvidia,GeForce GTX 1650,1593561600,149,1650
AMD,Radeon RX 6950 XT,1652166000,1099,6950xt
AMD,Radeon RX 6900 XT,1607385600,999,6900xt
AMD,Radeon RX 6800 XT,1605657600,649,6800xt
AMD,Radeon RX 6800,1605657600,579,6800
AMD,Radeon RX 6750 XT,1652166000,549,6750xt
AMD,Radeon RX 6700 XT,1616025600,479,6700xt
AMD,Radeon RX 5700 XT,1562457600,449,5700xt
AMD,Radeon RX 6650 XT,1652166000,399,6650xt
AMD,Radeon RX 6600 XT,1628640000,379,6600xt
AMD,Radeon RX 5700,1562457600,349,5700
AMD,Radeon RX 6600,1634083200,329,6600
AMD,Radeon RX 5600 XT,1579564800,279,5600xt
AMD,Radeon RX 5500 XT,1576108800,199,5500xt
AMD,Radeon RX 6500 XT,1642550400,199,6500xt
AMD,Radeon RX 6400,1642550400,159,6400
AMD,Radeon RX 5300,1598572800,129,5300
